date,price,shares,invested,value,monthly_invest,return_pct,資料來源_股價,資料來源_基本面,資料來源_策略
2006-01-31,16649.8203125,0.0600607082377484,1000.0,1000.0,1000.0,0.0,Yahoo Finance (^N225) -> data/nikkei225_price.csv,Nikkei Indexes -> data/fundamentals/nikkei225_fundamental.csv,scripts/experiments/walkforward_yearly_calibration.py::run_market(Model-Driven DCA)
2006-02-28,16205.4296875,0.1217684209787038,2000.0,1973.3095843282845,1000.0,-1.3345207835857764,Yahoo Finance (^N225) -> data/nikkei225_price.csv,Nikkei Indexes -> data/fundamentals/nikkei225_fundamental.csv,scripts/experiments/walkforward_yearly_calibration.py::run_market(Model-Driven DCA)
2006-03-31,17059.66015625,0.180386235802737,3000.0,3077.32787965987,1000.0,2.577595988662339,Yahoo Finance (^N225) -> data/nikkei225_price.csv,Nikkei Indexes -> data/fundamentals/nikkei225_fundamental.csv,scripts/experiments/walkforward_yearly_calibration.py::run_market(Model-Driven DCA)
2006-04-30,16906.23046875,0.2395360268722738,4000.0,4049.651275871355,1000.0,1.2412818967838803,Yahoo Finance (^N225) -> data/nikkei225_price.csv,Nikkei Indexes -> data/fundamentals/nikkei225_fundamental.csv,scripts/experiments/walkforward_yearly_calibration.py::run_market(Model-Driven DCA)
2006-05-31,15467.330078125,0.3041884261518541,5000.0,4704.9827932360795,1000.0,-5.90034413527841,Yahoo Finance (^N225) -> data/nikkei225_price.csv,Nikkei Indexes -> data/fundamentals/nikkei225_fundamental.csv,scripts/experiments/walkforward_yearly_calibration.py::run_market(Model-Driven DCA)
2006-06-30,15505.1796875,0.36868300281298,6000.0,5716.496206342323,1000.0,-4.725063227627955,Yahoo Finance (^N225) -> data/nikkei225_price.csv,Nikkei Indexes -> data/fundamentals/nikkei225_fundamental.csv,scripts/experiments/walkforward_yearly_calibration.py::run_market(Model-Driven DCA)
2006-07-31,15456.8095703125,0.4333794070386408,7000.0,6698.66296629122,1000.0,-4.304814767268285,Yahoo Finance (^N225) -> data/nikkei225_price.csv,Nikkei Indexes -> data/fundamentals/nikkei225_fundamental.csv,scripts/experiments/walkforward_yearly_calibration.py::run_market(Model-Driven DCA)
2006-08-31,16140.759765625,0.4953343592540688,8000.0,7995.072896379714,1000.0,-0.06158879525357861,Yahoo Finance (^N225) -> data/nikkei225_price.csv,Nikkei Indexes -> data/fundamentals/nikkei225_fundamental.csv,scripts/experiments/walkforward_yearly_calibration.py::run_market(Model-Driven DCA)
2006-09-30,16127.580078125,0.557339941936394,9000.0,8988.544544316732,1000.0,-0.12728284092520173,Yahoo Finance (^N225) -> data/nikkei225_price.csv,Nikkei Indexes -> data/fundamentals/nikkei225_fundamental.csv,scripts/experiments/walkforward_yearly_calibration.py::run_market(Model-Driven DCA)
2006-10-31,16399.390625,0.6183178174481556,10000.0,10140.035418729743,1000.0,1.4003541872974348,Yahoo Finance (^N225) -> data/nikkei225_price.csv,Nikkei Indexes -> data/fundamentals/nikkei225_fundamental.csv,scripts/experiments/walkforward_yearly_calibration.py::run_market(Model-Driven DCA)
2006-11-30,16274.330078125,0.7104875100130257,11500.0,11562.708254337122,1500.0,0.5452891681488836,Yahoo Finance (^N225) -> data/nikkei225_price.csv,Nikkei Indexes -> data/fundamentals/nikkei225_fundamental.csv,scripts/experiments/walkforward_yearly_calibration.py::run_market(Model-Driven DCA)
2006-12-31,17225.830078125,0.7975660422635465,13000.0,13738.737120114514,1500.0,5.6825932316501095,Yahoo Finance (^N225) -> data/nikkei225_price.csv,Nikkei Indexes -> data/fundamentals/nikkei225_fundamental.csv,scripts/experiments/walkforward_yearly_calibration.py::run_market(Model-Driven DCA)
2007-01-31,17383.419921875,0.883855161823526,14500.0,15364.425428095134,1500.0,5.961554676518163,Yahoo Finance (^N225) -> data/nikkei225_price.csv,Nikkei Indexes -> data/fundamentals/nikkei225_fundamental.csv,scripts/experiments/walkforward_yearly_calibration.py::run_market(Model-Driven DCA)
2007-02-28,17604.119140625,0.9485659716574694,15639.176806003068,16698.66837780081,1139.176806003068,6.774599359929585,Yahoo Finance (^N225) -> data/nikkei225_price.csv,Nikkei Indexes -> data/fundamentals/nikkei225_fundamental.csv,scripts/experiments/walkforward_yearly_calibration.py::run_market(Model-Driven DCA)
